Temps	Déplacement	Force
(s)	(mm)	(kN)
0	0,02	0,2027
0,1	0,0201	0,202
0,2	0,0213	0,2119
0,3	0,0239	0,2408
0,4	0,026	0,2605
0,5	0,0277	0,2755
0,6	0,0293	0,2908
0,7	0,0309	0,3052
0,8	0,0325	0,3193
0,9	0,0343	0,3347
1	0,036	0,3508
1,1	0,0377	0,3648
1,2	0,0393	0,3793
1,3	0,041	0,3937
1,4	0,0425	0,4072
1,5	0,0442	0,4223
1,6	0,046	0,4379
1,7	0,0476	0,4526
1,8	0,0493	0,467
1,9	0,051	0,4814
2	0,0526	0,4946
2,1	0,0542	0,5076
2,2	0,056	0,5225
2,3	0,0577	0,5365
2,4	0,0593	0,5503
2,5	0,061	0,564
2,6	0,0627	0,5771
2,7	0,0642	0,5888
2,8	0,0659	0,6008
2,9	0,0677	0,6144
3	0,0693	0,6264
3,1	0,071	0,6385
3,2	0,0727	0,6495
3,3	0,0742	0,6607
3,4	0,0758	0,6734
3,5	0,0777	0,6871
3,6	0,0794	0,6999
3,7	0,081	0,7123
3,8	0,0827	0,7249
3,9	0,0843	0,7373
4	0,0859	0,7495
4,1	0,0876	0,7615
4,2	0,0893	0,7749
4,3	0,091	0,7864
4,4	0,0927	0,7986
4,5	0,0943	0,812
4,6	0,0959	0,8234
4,7	0,0975	0,8364
4,8	0,0993	0,8496
4,9	0,101	0,8619
5	0,1027	0,8739
5,1	0,1044	0,8856
5,2	0,1059	0,8958
5,3	0,1075	0,9069
5,4	0,1092	0,9203
5,5	0,111	0,9341
5,6	0,1127	0,9448
5,7	0,1143	0,9565
5,8	0,116	0,9679
5,9	0,1175	0,9776
6	0,1192	0,991
6,1	0,121	1,0031
6,2	0,1227	1,0149
6,3	0,1243	1,0249
6,4	0,126	1,0363
6,5	0,1276	1,0479
6,6	0,1292	1,0582
6,7	0,131	1,0703
6,8	0,1327	1,0811
6,9	0,1344	1,0918
7	0,136	1,1027
7,1	0,1377	1,1119
7,2	0,1392	1,1218
7,3	0,1408	1,1326
7,4	0,1426	1,1443
7,5	0,1443	1,1544
7,6	0,146	1,1657
7,7	0,1477	1,1764
7,8	0,1493	1,1852
7,9	0,1509	1,1945
8	0,1526	1,2057
8,1	0,1544	1,2179
8,2	0,156	1,227
8,3	0,1577	1,2372
8,4	0,1593	1,2462
8,5	0,1608	1,2554
8,6	0,1626	1,2657
8,7	0,1644	1,2769
8,8	0,166	1,2861
8,9	0,1677	1,2954
9	0,1693	1,3049
9,1	0,1709	1,3139
9,2	0,1725	1,3237
9,3	0,1743	1,3344
9,4	0,176	1,3445
9,5	0,1777	1,3529
9,6	0,1794	1,3622
9,7	0,181	1,3703
9,8	0,1826	1,3789
9,9	0,1842	1,3878
10	0,186	1,3988
10,1	0,1877	1,4076
10,2	0,1893	1,4168
10,3	0,191	1,4255
10,4	0,1925	1,4321
10,5	0,1942	1,4411
10,6	0,196	1,4511
10,7	0,1977	1,46
10,8	0,1994	1,4681
10,9	0,201	1,4762
11	0,2026	1,4846
11,1	0,2042	1,4927
11,2	0,206	1,5014
11,3	0,2078	1,5103
11,4	0,2093	1,5168
11,5	0,211	1,5249
11,6	0,2126	1,5325
11,7	0,2142	1,54
11,8	0,2159	1,548
11,9	0,2176	1,5573
12	0,2193	1,5649
12,1	0,221	1,5732
12,2	0,2227	1,5801
12,3	0,2243	1,587
12,4	0,2259	1,5943
12,5	0,2276	1,6021
12,6	0,2294	1,6108
12,7	0,2311	1,6186
12,8	0,2327	1,6247
12,9	0,2343	1,6324
13	0,2359	1,6389
13,1	0,2375	1,6462
13,2	0,2393	1,6555
13,3	0,241	1,6629
13,4	0,2427	1,6696
13,5	0,2443	1,6771
13,6	0,2459	1,6826
13,7	0,2475	1,6896
13,8	0,2493	1,6975
13,9	0,251	1,7053
14	0,2527	1,7128
14,1	0,2544	1,7198
14,2	0,256	1,7265
14,3	0,2576	1,7329
14,4	0,2592	1,7394
14,5	0,2609	1,7467
14,6	0,2626	1,7532
14,7	0,2643	1,7611
14,8	0,266	1,7679
14,9	0,2676	1,7752
15	0,2692	1,7817
15,1	0,271	1,79
15,2	0,2727	1,798
15,3	0,2744	1,804
15,4	0,276	1,8106
15,5	0,2777	1,8171
15,6	0,2792	1,8226
15,7	0,2809	1,8309
15,8	0,2827	1,8391
15,9	0,2844	1,8462
16	0,286	1,8525
16,1	0,2877	1,8598
16,2	0,2892	1,8656
16,3	0,2909	1,8722
16,4	0,2927	1,8798
16,5	0,2944	1,8878
16,6	0,296	1,8942
16,7	0,2977	1,9014
16,8	0,2994	1,9086
16,9	0,3009	1,9141
17	0,3026	1,921
17,1	0,3043	1,9285
17,2	0,306	1,9348
17,3	0,3077	1,9423
17,4	0,3094	1,9487
17,5	0,3109	1,9549
17,6	0,3125	1,9619
17,7	0,3143	1,97
17,8	0,316	1,9767
17,9	0,3177	1,9837
18	0,3193	1,9901
18,1	0,321	1,996
18,2	0,3225	2,0017
18,3	0,3243	2,0095
18,4	0,3261	2,017
18,5	0,3277	2,0222
18,6	0,3293	2,0282
18,7	0,3309	2,0352
18,8	0,3325	2,0404
18,9	0,3342	2,0478
19	0,336	2,0549
19,1	0,3377	2,0606
19,2	0,3393	2,0671
19,3	0,341	2,0738
19,4	0,3426	2,0793
19,5	0,3442	2,0848
19,6	0,3459	2,0917
19,7	0,3477	2,0983
19,8	0,3494	2,1051
19,9	0,351	2,1113
20	0,3527	2,118
20,1	0,3542	2,1226
20,2	0,3558	2,1282
20,3	0,3576	2,1359
20,4	0,3594	2,1429
20,5	0,361	2,1491
20,6	0,3627	2,1545
20,7	0,3643	2,1607
20,8	0,3659	2,1664
20,9	0,3676	2,1739
21	0,3694	2,1807
21,1	0,371	2,187
21,2	0,3727	2,1928
21,3	0,3743	2,1984
21,4	0,3759	2,2034
21,5	0,3776	2,2105
21,6	0,3793	2,2184
21,7	0,381	2,2244
21,8	0,3827	2,2306
21,9	0,3844	2,2371
22	0,3859	2,2424
22,1	0,3875	2,2492
22,2	0,3893	2,2562
22,3	0,391	2,2622
22,4	0,3927	2,2685
22,5	0,3944	2,2752
22,6	0,396	2,2807
22,7	0,3975	2,2852
22,8	0,3992	2,2929
22,9	0,401	2,3001
23	0,4027	2,3067
23,1	0,4044	2,3129
23,2	0,406	2,3182
23,3	0,4075	2,3233
23,4	0,4092	2,3298
23,5	0,411	2,3377
23,6	0,4127	2,3443
23,7	0,4143	2,3507
23,8	0,416	2,3568
23,9	0,4176	2,3622
24	0,4192	2,3675
24,1	0,421	2,3747
24,2	0,4227	2,3813
24,3	0,4244	2,3866
24,4	0,426	2,3924
24,5	0,4277	2,3996
24,6	0,4293	2,4043
24,7	0,4309	2,4104
24,8	0,4326	2,4179
24,9	0,4343	2,4243
25	0,436	2,4311
25,1	0,4377	2,4367
25,2	0,4393	2,4416
25,3	0,4409	2,4471
25,4	0,4426	2,4548
25,5	0,4444	2,4629
25,6	0,446	2,4673
25,7	0,4477	2,4733
25,8	0,4493	2,4794
25,9	0,4508	2,4847
26	0,4525	2,4908
26,1	0,4544	2,4992
26,2	0,456	2,5058
26,3	0,4577	2,5108
26,4	0,4593	2,5176
26,5	0,461	2,5238
26,6	0,4626	2,5299
26,7	0,4643	2,5365
26,8	0,466	2,5431
26,9	0,4677	2,5492
27	0,4694	2,5552
27,1	0,471	2,5609
27,2	0,4725	2,5657
27,3	0,4742	2,5732
27,4	0,476	2,5803
27,5	0,4777	2,5867
27,6	0,4794	2,5932
27,7	0,481	2,599
27,8	0,4826	2,6043
27,9	0,4842	2,6102
28	0,486	2,6179
28,1	0,4877	2,6248
28,2	0,4894	2,6303
28,3	0,491	2,6361
28,4	0,4927	2,642
28,5	0,4942	2,6466
28,6	0,4959	2,6546
28,7	0,4977	2,6633
28,8	0,4994	2,6686
28,9	0,501	2,675
29	0,5026	2,6816
29,1	0,5042	2,6871
29,2	0,5059	2,6926
29,3	0,5076	2,6999
29,4	0,5094	2,7078
29,5	0,511	2,714
29,6	0,5127	2,7203
29,7	0,5143	2,7262
29,8	0,5159	2,7316
29,9	0,5176	2,7379
30	0,5193	2,7452
30,1	0,521	2,7517
30,2	0,5227	2,7591
30,3	0,5244	2,7653
30,4	0,5259	2,7704
30,5	0,5275	2,777
30,6	0,5293	2,7846
30,7	0,5311	2,7914
30,8	0,5327	2,7972
30,9	0,5344	2,8038
31	0,536	2,8103
31,1	0,5376	2,8158
31,2	0,5393	2,8225
31,3	0,541	2,8302
31,4	0,5427	2,836
31,5	0,5443	2,8417
31,6	0,546	2,8489
31,7	0,5475	2,8538
31,8	0,5492	2,8608
31,9	0,551	2,8688
32	0,5527	2,8756
32,1	0,5543	2,8818
32,2	0,556	2,8883
32,3	0,5577	2,8941
32,4	0,5592	2,8999
32,5	0,5609	2,9067
32,6	0,5627	2,9148
32,7	0,5644	2,9201
32,8	0,566	2,9261
32,9	0,5677	2,9333
33	0,5692	2,9385
33,1	0,5709	2,9458
33,2	0,5727	2,9525
33,3	0,5744	2,959
33,4	0,576	2,9657
33,5	0,5777	2,9716
33,6	0,5793	2,9776
33,7	0,5809	2,9845
33,8	0,5826	2,9912
33,9	0,5844	2,9987
34	0,586	3,0044
34,1	0,5877	3,0115
34,2	0,5894	3,0176
34,3	0,5909	3,0229
34,4	0,5925	3,0294
34,5	0,5943	3,0371
34,6	0,596	3,043
34,7	0,5976	3,0489
34,8	0,5993	3,0565
34,9	0,601	3,0619
35	0,6025	3,0682
35,1	0,6043	3,0753
35,2	0,606	3,0832
35,3	0,6077	3,0894
35,4	0,6093	3,0948
35,5	0,611	3,1008
35,6	0,6126	3,1066
35,7	0,6142	3,113
35,8	0,616	3,1202
35,9	0,6177	3,1278
36	0,6193	3,1329
36,1	0,621	3,1398
36,2	0,6226	3,1459
36,3	0,6242	3,1519
36,4	0,626	3,16
36,5	0,6277	3,1656
36,6	0,6294	3,1717
36,7	0,631	3,1781
36,8	0,6327	3,1841
